,ID,Gender,Race,Age_at_Release,Residence_PUMA,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
0,1,1,1,45,16,3.0,0,3,3,3.5,6,6,1,3,3,4,0,0,3,3,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,2,0.488562092,0.447610294,0,0
1,2,1,1,35,16,6.0,1,1,1,3.5,7,6,3,0,3,5,1,0,3,4,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,4,0,0,2,0.425233645,2.0,0,1
2,3,1,1,55,24,7.0,2,3,3,1.5,6,6,3,2,2,5,1,0,3,2,1,1,2,0,1,0,0,0,1,1,0,0,1,0,1,4,6,0,0,0.0,0.0,0,1
3,4,1,0,40,16,7.0,2,1,1,1.5,8,6,0,3,3,3,0,0,3,4,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,3,1.0,0.718996063,0,0
4,5,1,0,35,16,4.0,1,3,3,1.5,4,4,3,2,1,3,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,7,0,0,0.203562341,0.929389313,0,1
5,6,1,0,40,17,5.0,0,0,0,3.5,4,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0.674252002,0.30783818,0,0
6,7,1,1,55,18,2.0,0,2,2,0.5,10,6,1,5,1,5,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
7,8,1,1,40,16,5.0,2,3,3,2.5,6,6,3,1,2,5,0,0,1,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.469446441,0.525161754,0,0
8,9,0,1,45,5,7.0,2,0,0,0.5,10,4,2,5,3,3,0,0,2,4,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1
9,10,1,1,45,16,5.0,0,3,3,3.5,10,6,3,5,2,5,1,1,3,4,1,3,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.35971223,1.0,0,1
10,11,1,0,45,5,3.0,1,1,1,1.5,3,6,2,1,1,3,1,0,0,3,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,9,2,2,1.0,3.413551402,1,1
11,12,1,1,35,16,5.0,1,3,3,1.5,10,1,1,1,2,3,0,0,3,1,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,4,10,0,0,0.0,0.0,1,1
12,13,1,0,55,18,3.0,0,1,1,3.5,8,4,0,5,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.635217391,0,0
13,14,1,1,35,3,7.0,0,0,0,1.5,10,3,1,1,5,5,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,1,1.0,1.0,0,1
14,15,1,0,35,5,7.0,0,1,1,2.5,9,3,2,2,4,4,0,1,3,2,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,6,0,1,0.0,0.0,1,0
15,16,1,1,35,3,4.0,0,3,3,3.5,4,6,0,0,3,4,0,1,2,4,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0.338926174,0.61283557,0,0
16,17,1,1,40,16,6.0,2,3,3,1.5,10,5,2,3,3,4,1,0,3,4,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0.545851528,2.0,0,1
17,18,1,0,45,24,1.0,0,3,3,0.5,10,6,0,5,0,5,1,1,3,2,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.452138493,0.74389002,0,1
18,19,1,1,55,12,7.0,2,3,3,3.5,10,4,0,5,0,5,0,0,3,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0.918575064,0.464694656,0,0
19,20,1,0,55,16,3.0,0,0,0,1.5,10,6,0,5,1,5,0,1,2,4,0,3,0,1,0,1,1,1,1,1,0,0,0,0,0,4,0,0,1,0.794736842,0.320394737,0,1
20,21,1,1,40,5,3.0,0,3,3,0.5,6,6,3,1,0,3,1,0,3,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.0,2.0,0,0
21,22,1,1,35,16,5.0,0,3,3,1.5,10,6,0,1,5,5,0,0,2,4,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,1.0,3.196936543,0,0
22,23,0,0,55,5,4.0,0,0,0,1.5,2,6,3,5,0,1,1,0,2,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0.0,0.0,0,0
23,24,0,0,45,16,5.0,0,0,0,1.5,10,6,3,5,1,5,1,0,3,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.99137931,1.0,0,0
24,25,1,1,40,18,5.0,0,3,3,0.5,10,6,3,1,5,5,1,0,3,4,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.196428571,0.931760204,0,1
25,26,1,0,55,17,2.0,0,1,1,1.5,9,5,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,2.0,0,1
26,27,1,0,55,14,2.0,1,0,0,1.5,9,6,0,0,2,5,0,0,3,4,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,4,6,0,0,0.806451613,1.0,0,0
27,28,1,0,55,23,3.0,0,0,0,1.5,10,6,3,5,1,5,0,0,3,4,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,3,1,0.0,0.0,0,1
28,29,1,1,45,6,6.0,2,0,0,2.5,7,6,0,5,0,2,0,1,2,3,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0.895355344,0.204392837,1,0
29,30,1,1,20,2,10.0,1,0,0,1.5,5,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0,1
30,31,1,0,45,14,10.0,1,0,0,1.5,10,6,3,5,0,5,1,1,3,4,0,3,0,1,0,0,0,1,1,0,1,0,1,0,0,4,2,0,0,0.714285714,1.0,0,1
31,32,0,0,45,16,9.0,1,0,0,1.5,10,6,2,5,0,4,0,0,3,4,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,1,1.0,0.706479691,1,0
32,33,1,0,45,25,8.0,0,1,1,1.5,10,2,3,4,2,5,0,1,3,3,1,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,6,2,0,0.0,0.0,0,1
33,34,0,0,40,12,10.0,1,3,3,1.5,10,6,0,5,5,5,0,0,1,4,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0,1,1
34,35,1,0,35,14,4.0,0,0,0,0.5,5,6,1,0,4,5,0,1,3,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0.0,0.0,0,1
35,36,1,1,55,10,2.0,0,0,0,0.5,10,6,1,5,4,4,0,0,3,4,0,3,1,1,0,0,0,0,1,0,0,0,1,0,1,4,1,1,2,0.654098361,0.598770492,1,0
36,37,1,0,45,14,3.0,0,2,2,0.5,10,6,3,1,5,5,0,0,3,4,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
37,38,1,1,35,3,6.0,2,0,0,2.5,10,6,0,5,0,5,0,0,2,4,0,3,0,1,0,0,0,0,1,1,0,0,1,0,1,3,0,0,1,0.0,0.0,0,1
38,39,1,1,35,12,3.0,0,3,3,0.5,8,6,2,2,1,5,0,0,3,4,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,1.0,1.0,0,1
39,40,0,1,40,2,2.0,0,1,1,1.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.981412639,1.0,0,0
40,41,1,0,35,14,10.0,1,1,1,3.5,10,6,1,5,1,5,0,0,3,4,1,3,0,1,0,0,1,0,1,1,1,0,0,0,0,2,4,3,1,1.0,1.0,0,1
41,42,1,1,55,3,3.0,1,3,3,1.5,9,4,3,0,0,4,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.886446886,2.0,0,0
